Fecha,Estacion,NombreEstacion,Latitud,Longitud,pH,OD,Turbidez,Conductividad,Nitratos,DBO5,Fosfatos,Arsenico,Precipitacion_mm,Temperatura_Aire_C,ICA,Categoria_ICA
2021-01-14,CH-04,Puente Bolognesi,-16.4018,-71.534,7.37,8.03,15.2,526.1,3.6,2.22,0.26,0.0042,27.6,14.0,70,Regular
2021-01-14,CH-07,Uchumayo,-16.504,-71.65,7.08,5.77,15.2,769.1,6.67,4.08,0.514,0.0057,33.6,13.9,60,Regular
2021-01-14,CH-08,Vitor,-16.56,-71.78,6.97,6.06,17.7,941.2,7.12,6.74,0.61,0.008,36.4,7.7,51,Regular
2021-01-15,CH-06,Tiabaya,-16.468,-71.584,7.42,6.24,19.1,675.9,4.67,4.51,0.547,0.0057,40.6,16.7,59,Regular
2021-01-16,CH-08,Vitor,-16.56,-71.78,7.29,5.67,19.1,911.6,7.89,6.07,0.707,0.0086,49.5,20.6,49,Mala
2021-01-16,CH-08,Vitor,-16.56,-71.78,7.3,5.5,22.4,902.3,7.06,5.61,0.698,0.008,52.0,17.9,48,Mala
2021-01-16,CH-03,Puente Grau,-16.3984,-71.5373,7.58,7.2,12.1,407.9,2.22,2.01,0.314,0.0047,27.8,11.3,77,Buena
2021-01-17,CH-05,Tingo,-16.4305,-71.555,7.55,7.01,19.7,645.8,5.06,2.93,0.432,0.0047,45.5,12.8,60,Regular
2021-01-17,CH-07,Uchumayo,-16.504,-71.65,7.25,5.17,21.0,839.3,5.49,5.0,0.592,0.0079,59.0,14.5,54,Regular
2021-01-18,CH-07,Uchumayo,-16.504,-71.65,7.3,6.03,20.9,799.3,7.1,5.31,0.566,0.0059,48.7,14.5,50,Mala
2021-01-18,CH-06,Tiabaya,-16.468,-71.584,7.22,6.19,16.3,695.4,5.22,2.86,0.572,0.0054,43.1,11.4,64,Regular
2021-01-18,CH-02,Chilina,-16.3815,-71.5295,7.57,8.01,11.9,353.5,1.42,1.47,0.146,0.0024,50.2,12.1,80,Buena
2021-01-18,CH-07,Uchumayo,-16.504,-71.65,7.59,6.21,17.6,817.2,5.95,5.09,0.482,0.0061,49.2,17.2,57,Regular
2021-01-19,CH-01,Charcani,-16.357,-71.546,7.48,8.99,16.0,187.3,1.51,1.15,0.01,0.0022,52.5,16.6,75,Buena
2021-01-19,CH-08,Vitor,-16.56,-71.78,7.57,5.04,19.8,858.7,7.82,5.44,0.65,0.0074,71.1,11.1,50,Mala
2021-01-20,CH-08,Vitor,-16.56,-71.78,7.28,4.69,22.5,922.2,8.37,5.29,0.684,0.0075,34.8,16.7,46,Mala
2021-01-20,CH-05,Tingo,-16.4305,-71.555,7.36,6.6,14.2,635.5,4.83,3.21,0.373,0.0048,69.7,20.2,67,Regular
2021-01-20,CH-07,Uchumayo,-16.504,-71.65,7.18,5.85,19.2,806.0,7.0,7.26,0.577,0.0084,38.4,17.3,48,Mala
2021-01-20,CH-02,Chilina,-16.3815,-71.5295,7.48,7.69,12.7,390.6,1.36,1.97,0.19,0.0041,66.0,10.0,78,Buena
2021-01-21,CH-04,Puente Bolognesi,-16.4018,-71.534,7.58,6.99,18.3,563.5,3.63,2.45,0.317,0.0047,44.8,16.3,66,Regular
2021-01-21,CH-04,Puente Bolognesi,-16.4018,-71.534,8.07,7.37,12.9,509.4,4.53,3.39,0.368,0.005,39.7,23.0,69,Regular
2021-01-21,CH-07,Uchumayo,-16.504,-71.65,7.54,6.27,14.3,746.3,6.43,5.09,0.615,0.0078,52.2,12.3,60,Regular
2021-01-21,CH-07,Uchumayo,-16.504,-71.65,7.24,6.43,19.4,818.8,6.3,5.19,0.506,0.0074,44.7,10.5,54,Regular
2021-01-22,CH-02,Chilina,-16.3815,-71.5295,7.55,7.65,13.3,292.2,1.24,1.42,0.189,0.0032,53.9,15.3,79,Buena
2021-01-22,CH-02,Chilina,-16.3815,-71.5295,7.64,7.98,9.6,351.9,1.75,2.37,0.154,0.0026,38.3,19.1,80,Buena
2021-01-22,CH-05,Tingo,-16.4305,-71.555,7.52,7.43,15.9,605.8,4.53,3.09,0.408,0.0044,41.6,14.9,66,Regular
2021-01-23,CH-02,Chilina,-16.3815,-71.5295,7.57,7.77,15.2,355.2,1.29,3.07,0.161,0.0017,29.2,12.0,73,Buena
2021-01-23,CH-07,Uchumayo,-16.504,-71.65,7.21,6.04,18.7,743.2,5.88,6.92,0.519,0.0068,50.4,15.2,52,Regular
2021-01-23,CH-05,Tingo,-16.4305,-71.555,7.51,6.76,19.1,646.0,4.9,4.52,0.346,0.0052,48.5,6.5,58,Regular
2021-01-23,CH-05,Tingo,-16.4305,-71.555,7.61,6.9,17.2,592.1,3.47,4.0,0.401,0.0046,34.9,10.5,64,Regular
2021-01-24,CH-01,Charcani,-16.357,-71.546,7.74,8.2,10.7,232.5,1.16,1.66,0.038,0.0022,53.1,12.3,82,Buena
2021-01-26,CH-03,Puente Grau,-16.3984,-71.5373,7.66,8.65,8.4,365.0,2.1,3.11,0.188,0.0036,43.5,13.9,80,Buena
2021-01-26,CH-05,Tingo,-16.4305,-71.555,7.35,6.59,13.0,603.2,3.74,3.23,0.433,0.0062,35.0,15.5,70,Regular
2021-01-26,CH-01,Charcani,-16.357,-71.546,7.75,8.16,8.6,272.6,0.18,1.45,0.085,0.0008,52.9,16.7,86,Buena
2021-01-27,CH-01,Charcani,-16.357,-71.546,7.95,9.1,12.4,270.7,0.54,0.96,0.129,0.002,33.5,13.8,82,Buena
2021-01-27,CH-08,Vitor,-16.56,-71.78,7.36,6.26,22.6,907.0,7.33,5.06,0.66,0.0083,40.3,13.3,48,Mala
2021-01-27,CH-07,Uchumayo,-16.504,-71.65,7.49,6.77,17.6,779.7,6.95,5.62,0.605,0.0072,25.0,12.7,54,Regular
2021-01-27,CH-04,Puente Bolognesi,-16.4018,-71.534,7.65,7.69,15.0,630.2,3.54,3.94,0.316,0.0051,60.1,14.9,67,Regular
2021-01-27,CH-07,Uchumayo,-16.504,-71.65,7.55,4.98,18.0,778.4,6.8,5.46,0.491,0.0066,35.1,13.2,54,Regular
2021-01-27,CH-06,Tiabaya,-16.468,-71.584,7.35,7.01,15.2,727.4,5.5,5.54,0.508,0.0067,52.0,13.2,60,Regular
2021-01-28,CH-03,Puente Grau,-16.3984,-71.5373,7.85,8.0,12.8,454.1,1.84,1.92,0.324,0.0045,23.2,15.3,77,Buena
2021-01-28,CH-01,Charcani,-16.357,-71.546,7.89,9.19,10.0,254.8,0.61,1.05,0.058,0.0005,54.5,15.1,85,Buena
2021-01-29,CH-05,Tingo,-16.4305,-71.555,7.46,6.91,15.5,579.4,4.76,3.25,0.504,0.0056,39.9,16.6,65,Regular
2021-01-29,CH-06,Tiabaya,-16.468,-71.584,7.37,6.24,14.5,693.4,5.51,4.99,0.407,0.0066,14.2,16.2,62,Regular
2021-01-30,CH-04,Puente Bolognesi,-16.4018,-71.534,7.77,6.86,11.4,570.2,3.54,3.4,0.355,0.0036,56.1,16.0,72,Buena
2021-01-30,CH-07,Uchumayo,-16.504,-71.65,7.45,6.04,18.0,778.3,6.5,4.32,0.535,0.0056,45.8,13.7,57,Regular
2021-01-30,CH-04,Puente Bolognesi,-16.4018,-71.534,7.3,7.34,11.2,452.2,2.79,0.85,0.297,0.0051,54.7,10.8,79,Buena
2021-01-31,CH-06,Tiabaya,-16.468,-71.584,7.13,6.54,15.2,707.5,5.29,5.06,0.373,0.0055,47.3,19.3,61,Regular
2021-01-31,CH-08,Vitor,-16.56,-71.78,7.46,5.7,18.2,904.0,7.3,6.5,0.66,0.008,51.2,11.6,51,Regular
2021-01-31,CH-08,Vitor,-16.56,-71.78,7.48,5.2,15.5,909.5,7.68,6.34,0.699,0.0084,52.5,18.9,53,Regular
2021-01-31,CH-06,Tiabaya,-16.468,-71.584,7.48,6.73,14.9,721.6,5.73,4.46,0.418,0.0061,50.2,18.5,62,Regular
2021-02-01,CH-06,Tiabaya,-16.468,-71.584,7.6,6.89,18.4,734.9,5.5,2.42,0.503,0.0048,39.6,14.5,62,Regular
2021-02-02,CH-05,Tingo,-16.4305,-71.555,7.21,7.13,16.9,653.1,4.56,3.75,0.375,0.0046,34.8,16.3,63,Regular
2021-02-02,CH-08,Vitor,-16.56,-71.78,7.31,4.72,20.5,934.0,7.32,5.95,0.672,0.0068,42.3,12.1,49,Mala
2021-02-03,CH-03,Puente Grau,-16.3984,-71.5373,7.68,7.11,12.8,416.6,2.47,1.98,0.28,0.0026,48.1,14.7,76,Buena
2021-02-03,CH-02,Chilina,-16.3815,-71.5295,7.85,7.61,10.5,375.7,1.18,0.5,0.239,0.0039,38.1,12.0,84,Buena
2021-02-04,CH-04,Puente Bolognesi,-16.4018,-71.534,7.35,7.73,18.9,521.9,4.01,2.79,0.34,0.0045,53.8,13.3,64,Regular
2021-02-04,CH-04,Puente Bolognesi,-16.4018,-71.534,7.56,7.2,13.5,429.8,3.73,2.62,0.344,0.005,33.5,13.2,71,Buena
2021-02-04,CH-04,Puente Bolognesi,-16.4018,-71.534,7.4,7.42,15.9,471.6,3.04,2.79,0.278,0.0042,54.5,13.6,69,Regular
2021-02-05,CH-07,Uchumayo,-16.504,-71.65,7.35,5.48,19.9,780.5,6.1,4.21,0.493,0.0073,49.9,11.5,56,Regular
2021-02-05,CH-04,Puente Bolognesi,-16.4018,-71.534,7.31,7.53,14.2,503.7,3.63,3.38,0.207,0.0037,40.9,18.3,69,Regular
2021-02-05,CH-07,Uchumayo,-16.504,-71.65,7.32,5.69,20.0,779.4,7.01,5.18,0.579,0.0073,47.6,10.8,52,Regular
2021-02-06,CH-04,Puente Bolognesi,-16.4018,-71.534,7.68,6.9,15.6,491.8,3.09,2.49,0.27,0.0046,43.6,13.7,70,Regular
2021-02-06,CH-03,Puente Grau,-16.3984,-71.5373,7.89,7.23,10.2,469.5,2.17,1.92,0.267,0.0029,28.1,16.1,80,Buena
2021-02-06,CH-02,Chilina,-16.3815,-71.5295,7.77,7.89,7.5,337.8,1.63,2.79,0.176,0.002,28.5,12.5,82,Buena
2021-02-06,CH-04,Puente Bolognesi,-16.4018,-71.534,7.71,7.48,14.4,570.7,3.36,2.1,0.274,0.0039,36.7,16.4,72,Buena
2021-02-07,CH-03,Puente Grau,-16.3984,-71.5373,7.61,6.8,12.7,479.4,2.56,3.48,0.274,0.0035,40.5,18.3,73,Buena
2021-02-07,CH-04,Puente Bolognesi,-16.4018,-71.534,7.67,7.05,15.1,450.1,3.05,3.08,0.254,0.0064,63.3,15.5,70,Regular
2021-02-07,CH-08,Vitor,-16.56,-71.78,7.03,6.29,21.7,936.7,7.01,6.18,0.687,0.0088,43.7,15.9,48,Mala
2021-02-07,CH-01,Charcani,-16.357,-71.546,7.97,8.34,10.0,276.5,0.32,0.91,0.122,0.0021,46.1,16.4,86,Buena
2021-02-07,CH-08,Vitor,-16.56,-71.78,7.37,5.25,18.3,873.6,7.86,5.58,0.612,0.0067,28.5,16.6,51,Regular
2021-02-08,CH-02,Chilina,-16.3815,-71.5295,7.95,7.97,10.5,352.3,1.28,2.09,0.236,0.0034,33.1,20.6,81,Buena
2021-02-08,CH-08,Vitor,-16.56,-71.78,6.92,6.38,14.4,862.8,7.72,6.15,0.624,0.008,57.6,15.6,55,Regular
2021-02-09,CH-08,Vitor,-16.56,-71.78,7.37,4.64,22.9,964.6,7.79,5.76,0.568,0.0061,55.5,9.4,45,Mala
2021-02-10,CH-06,Tiabaya,-16.468,-71.584,7.69,6.11,14.6,599.1,5.51,4.73,0.549,0.0059,42.6,16.0,62,Regular
2021-02-10,CH-02,Chilina,-16.3815,-71.5295,7.62,7.84,11.3,310.0,1.51,2.01,0.119,0.0024,37.9,16.9,79,Buena
2021-02-10,CH-06,Tiabaya,-16.468,-71.584,7.34,6.11,15.9,737.8,5.66,4.11,0.424,0.0057,40.2,16.0,61,Regular
2021-02-11,CH-06,Tiabaya,-16.468,-71.584,7.36,6.45,17.9,683.7,5.68,3.99,0.491,0.0049,56.2,15.1,59,Regular
2021-02-11,CH-03,Puente Grau,-16.3984,-71.5373,7.76,7.91,13.0,442.8,2.55,2.65,0.261,0.0041,25.7,17.9,74,Buena
2021-02-11,CH-05,Tingo,-16.4305,-71.555,7.4,6.81,14.5,589.2,4.6,3.55,0.422,0.0056,49.1,20.1,66,Regular
2021-02-12,CH-05,Tingo,-16.4305,-71.555,7.48,7.51,19.8,584.7,3.9,3.36,0.394,0.0056,48.3,12.5,62,Regular
2021-02-12,CH-05,Tingo,-16.4305,-71.555,7.5,7.02,15.8,638.8,4.88,4.73,0.423,0.0049,56.4,12.0,62,Regular
2021-02-12,CH-08,Vitor,-16.56,-71.78,7.23,5.65,20.7,885.1,7.35,6.2,0.618,0.0067,55.6,14.5,48,Mala
2021-02-13,CH-06,Tiabaya,-16.468,-71.584,7.65,7.18,17.5,699.6,5.52,5.19,0.418,0.0059,48.9,11.7,58,Regular
2021-02-14,CH-05,Tingo,-16.4305,-71.555,7.61,6.5,11.9,643.9,4.2,3.49,0.37,0.0053,34.4,15.4,70,Regular
2021-02-14,CH-03,Puente Grau,-16.3984,-71.5373,7.54,8.18,11.1,348.2,2.13,0.52,0.263,0.0049,59.4,13.7,81,Buena
2021-02-15,CH-08,Vitor,-16.56,-71.78,7.66,5.46,22.4,858.5,7.09,5.53,0.559,0.0071,38.8,17.8,48,Mala
2021-02-15,CH-08,Vitor,-16.56,-71.78,7.16,5.17,16.2,926.7,7.15,4.96,0.652,0.0081,58.7,15.4,56,Regular
2021-02-16,CH-01,Charcani,-16.357,-71.546,8.02,8.97,10.1,243.6,0.69,0.82,0.011,0.0014,60.2,15.4,85,Buena
2021-02-16,CH-03,Puente Grau,-16.3984,-71.5373,7.71,7.28,13.6,448.2,2.7,3.22,0.196,0.0027,53.6,13.4,72,Buena
2021-02-17,CH-08,Vitor,-16.56,-71.78,7.07,5.3,16.8,934.8,7.18,5.73,0.716,0.0076,61.1,13.0,54,Regular
2021-02-17,CH-07,Uchumayo,-16.504,-71.65,7.06,5.75,15.3,871.7,5.71,5.51,0.518,0.0068,52.8,17.3,59,Regular
2021-02-17,CH-07,Uchumayo,-16.504,-71.65,7.62,4.84,16.4,746.6,6.26,5.0,0.624,0.0071,53.0,15.6,58,Regular
2021-02-17,CH-07,Uchumayo,-16.504,-71.65,7.13,6.82,18.0,836.1,6.92,6.66,0.483,0.0073,30.2,13.6,51,Regular
2021-02-18,CH-05,Tingo,-16.4305,-71.555,7.33,6.73,14.3,632.6,4.27,3.43,0.362,0.0053,35.4,11.4,67,Regular
2021-02-18,CH-03,Puente Grau,-16.3984,-71.5373,7.77,8.03,13.8,500.0,2.45,2.05,0.238,0.0051,47.3,11.0,74,Buena
2021-02-19,CH-07,Uchumayo,-16.504,-71.65,7.54,6.21,25.1,787.9,6.7,4.21,0.547,0.005,44.2,11.4,48,Mala
2021-02-19,CH-08,Vitor,-16.56,-71.78,6.94,6.13,20.2,905.1,7.19,4.7,0.696,0.0074,47.7,15.6,52,Regular
2021-02-20,CH-01,Charcani,-16.357,-71.546,7.56,8.08,7.3,257.0,0.05,0.5,0.11,0.0013,35.9,20.1,90,Buena
2021-02-20,CH-08,Vitor,-16.56,-71.78,7.11,4.9,18.9,867.0,7.21,6.94,0.6,0.0093,54.6,13.4,49,Mala
2021-02-20,CH-06,Tiabaya,-16.468,-71.584,7.42,5.91,13.8,745.6,6.34,4.28,0.497,0.0044,49.4,14.1,62,Regular
2021-02-21,CH-08,Vitor,-16.56,-71.78,7.16,5.9,17.8,923.5,7.66,6.62,0.635,0.0073,46.9,14.5,50,Mala
2021-02-23,CH-08,Vitor,-16.56,-71.78,7.3,5.2,19.2,851.3,7.05,6.38,0.613,0.0068,39.3,10.8,50,Mala
2021-02-24,CH-02,Chilina,-16.3815,-71.5295,7.86,7.11,10.2,400.0,0.49,0.67,0.165,0.0021,30.4,11.0,85,Buena
2021-02-24,CH-06,Tiabaya,-16.468,-71.584,7.5,7.0,18.7,667.3,5.85,3.95,0.568,0.007,68.9,16.6,58,Regular
2021-02-24,CH-03,Puente Grau,-16.3984,-71.5373,7.56,7.79,9.3,398.5,2.63,2.42,0.198,0.003,33.8,16.3,79,Buena
2021-02-24,CH-08,Vitor,-16.56,-71.78,7.14,5.55,20.4,858.9,7.51,4.8,0.649,0.007,48.9,20.3,51,Regular
2021-02-25,CH-02,Chilina,-16.3815,-71.5295,7.6,7.99,9.3,379.8,1.29,1.19,0.077,0.0034,59.9,13.9,84,Buena
2021-02-25,CH-03,Puente Grau,-16.3984,-71.5373,7.68,7.69,13.6,409.0,1.73,2.22,0.213,0.0038,40.5,13.3,76,Buena
2021-02-25,CH-08,Vitor,-16.56,-71.78,7.22,5.33,20.6,894.6,8.66,5.69,0.648,0.0059,32.2,19.6,47,Mala
2021-02-26,CH-04,Puente Bolognesi,-16.4018,-71.534,7.35,7.47,14.9,523.9,4.02,2.96,0.272,0.0049,48.3,17.6,68,Regular
2021-02-26,CH-03,Puente Grau,-16.3984,-71.5373,7.91,8.22,10.2,445.1,2.08,1.55,0.213,0.0039,44.1,14.8,80,Buena
2021-02-27,CH-04,Puente Bolognesi,-16.4018,-71.534,7.36,7.27,9.7,490.1,3.07,3.01,0.29,0.0045,57.2,6.3,76,Buena
2021-02-28,CH-05,Tingo,-16.4305,-71.555,7.38,7.02,17.3,650.1,5.2,3.99,0.398,0.004,59.0,15.5,61,Regular
2021-02-28,CH-08,Vitor,-16.56,-71.78,7.45,5.52,16.4,839.8,7.4,4.88,0.609,0.0069,47.6,17.6,56,Regular
2021-02-28,CH-02,Chilina,-16.3815,-71.5295,7.8,7.69,11.0,398.4,2.12,1.86,0.24,0.0035,47.1,20.5,79,Buena
2021-02-28,CH-08,Vitor,-16.56,-71.78,7.63,5.63,19.1,856.5,7.34,7.18,0.654,0.0071,32.9,16.4,48,Mala
2021-02-28,CH-01,Charcani,-16.357,-71.546,7.66,9.34,9.7,262.6,0.05,1.52,0.126,0.0019,48.9,12.3,85,Buena
2021-02-28,CH-03,Puente Grau,-16.3984,-71.5373,7.92,7.88,10.3,432.4,3.5,2.9,0.211,0.0031,35.0,8.8,75,Buena
2021-03-01,CH-05,Tingo,-16.4305,-71.555,7.36,6.31,14.5,593.9,4.55,4.86,0.371,0.0053,28.4,20.1,64,Regular
2021-03-02,CH-03,Puente Grau,-16.3984,-71.5373,7.74,8.08,13.1,398.4,3.18,1.79,0.223,0.0033,61.6,11.3,74,Buena
2021-03-02,CH-07,Uchumayo,-16.504,-71.65,7.16,7.12,21.0,811.1,6.21,4.23,0.611,0.0063,58.9,12.7,54,Regular
2021-03-02,CH-06,Tiabaya,-16.468,-71.584,6.97,6.01,13.1,714.7,5.66,4.74,0.484,0.007,56.2,14.5,63,Regular
2021-03-02,CH-03,Puente Grau,-16.3984,-71.5373,7.6,7.43,13.3,389.0,3.35,3.06,0.197,0.0019,46.6,14.9,71,Buena
2021-03-03,CH-07,Uchumayo,-16.504,-71.65,7.7,5.81,15.4,785.8,6.36,5.34,0.579,0.0085,39.3,14.4,58,Regular
2021-03-04,CH-07,Uchumayo,-16.504,-71.65,7.31,6.7,20.6,774.9,6.61,5.36,0.512,0.0072,63.8,16.5,51,Regular
2021-03-04,CH-03,Puente Grau,-16.3984,-71.5373,7.46,7.84,12.8,376.7,2.04,3.35,0.248,0.0036,40.7,11.7,74,Buena
2021-03-04,CH-05,Tingo,-16.4305,-71.555,7.28,6.53,14.3,629.5,3.4,4.32,0.427,0.0042,43.7,9.8,67,Regular
2021-03-04,CH-01,Charcani,-16.357,-71.546,7.8,8.92,12.5,349.4,0.57,0.5,0.092,0.0022,53.0,13.6,83,Buena
2021-03-05,CH-05,Tingo,-16.4305,-71.555,7.56,6.41,16.7,668.8,4.66,3.55,0.387,0.0066,48.6,17.1,64,Regular
2021-03-05,CH-04,Puente Bolognesi,-16.4018,-71.534,7.43,7.37,19.8,553.1,3.77,2.74,0.31,0.0054,41.2,16.0,63,Regular
2021-03-05,CH-01,Charcani,-16.357,-71.546,7.75,8.31,7.3,282.5,1.05,0.5,0.128,0.0024,50.9,13.5,88,Buena
2021-03-05,CH-05,Tingo,-16.4305,-71.555,7.75,5.94,11.6,657.5,4.88,4.26,0.385,0.0063,47.9,22.6,68,Regular
2021-03-05,CH-04,Puente Bolognesi,-16.4018,-71.534,7.19,7.46,13.9,585.9,3.81,2.59,0.277,0.0049,46.8,12.8,71,Buena
2021-03-06,CH-08,Vitor,-16.56,-71.78,7.27,5.71,19.8,855.1,7.49,5.75,0.687,0.0084,48.9,12.7,50,Mala
2021-03-06,CH-01,Charcani,-16.357,-71.546,7.39,8.28,8.4,268.8,1.12,0.5,0.044,0.0011,47.4,18.4,87,Buena
2021-03-07,CH-04,Puente Bolognesi,-16.4018,-71.534,7.49,7.39,10.9,511.0,2.97,3.07,0.254,0.0047,55.1,15.5,75,Buena
2021-03-07,CH-08,Vitor,-16.56,-71.78,7.26,5.51,15.6,879.3,7.87,5.13,0.665,0.0079,17.2,12.9,55,Regular
2021-03-08,CH-05,Tingo,-16.4305,-71.555,7.34,7.23,16.1,670.1,4.45,3.3,0.395,0.006,62.7,19.5,65,Regular
2021-03-08,CH-04,Puente Bolognesi,-16.4018,-71.534,7.31,7.29,13.7,543.8,3.83,3.2,0.394,0.0042,55.8,11.5,70,Regular
2021-03-09,CH-05,Tingo,-16.4305,-71.555,7.69,7.06,16.3,647.5,4.55,4.08,0.414,0.0053,47.9,15.1,63,Regular
2021-03-09,CH-01,Charcani,-16.357,-71.546,8.06,7.38,12.8,238.0,1.03,0.77,0.041,0.0018,63.6,19.5,81,Buena
2021-03-09,CH-03,Puente Grau,-16.3984,-71.5373,7.54,7.49,12.4,453.5,1.79,1.35,0.115,0.0036,42.8,13.6,79,Buena
2021-03-10,CH-07,Uchumayo,-16.504,-71.65,7.12,5.84,18.6,773.4,6.8,5.66,0.555,0.0059,24.3,16.9,53,Regular
2021-03-10,CH-03,Puente Grau,-16.3984,-71.5373,7.57,7.77,12.7,468.2,2.91,1.3,0.26,0.0035,44.0,15.1,76,Buena
2021-03-11,CH-04,Puente Bolognesi,-16.4018,-71.534,7.61,7.39,17.5,512.7,2.61,2.39,0.351,0.0043,58.9,16.7,69,Regular
