Fecha,Estacion,pH,OD,Turbidez,Conductividad,Nitratos
2021-01-24,E01,7.81,8.48,14.8,229.7,0.43
2021-01-24,E02,7.64,8.72,15.2,343.5,0.34
2021-01-24,E03,7.46,8.37,15.4,408.1,1.52
2021-01-24,E05,7.06,6.25,11.3,590.1,2.26
2021-01-24,E06,7.33,5.67,16.2,630.6,3.93
2021-01-25,E06,7.0,6.5,14.8,565.0,3.71
2021-01-25,E07,7.1,6.31,18.1,729.8,6.52
2021-01-26,E04,7.42,7.65,17.4,439.5,2.17
2021-01-26,E08,6.99,5.17,18.9,862.2,9.06
2021-01-27,E02,8.1,8.19,14.3,321.4,1.23
2021-01-27,E05,7.7,6.11,18.8,511.1,2.69
2021-01-28,E03,7.66,8.1,10.7,418.8,0.87
2021-01-28,E03,7.43,7.24,13.9,374.6,1.19
2021-01-28,E07,7.32,5.29,13.8,699.8,6.77
2021-01-29,E01,7.92,7.84,14.0,251.9,0.37
2021-01-29,E01,7.76,9.05,14.2,259.1,0.27
2021-01-29,E01,7.68,8.35,11.0,283.9,1.05
2021-01-29,E02,8.0,7.95,15.4,338.5,0.87
2021-01-29,E05,7.42,6.4,12.5,540.8,2.55
2021-01-29,E07,7.23,5.3,23.2,764.7,6.54
2021-01-30,E01,7.83,8.42,9.6,267.7,0.41
2021-01-30,E02,7.68,8.16,14.0,276.8,0.78
2021-01-30,E03,7.68,8.61,17.7,398.3,0.74
2021-01-31,E03,7.82,8.18,13.5,410.8,1.95
2021-01-31,E05,7.13,7.19,18.9,607.6,1.42
2021-01-31,E08,6.99,4.8,19.7,936.6,9.36
2021-01-31,E08,7.4,5.61,20.7,913.9,9.11
2021-02-01,E04,7.93,7.14,15.7,437.3,2.23
2021-02-01,E05,7.51,6.15,23.1,502.4,2.47
2021-02-01,E06,7.48,6.17,16.7,697.8,4.04
2021-02-01,E08,7.06,5.39,18.2,863.8,9.28
2021-02-02,E01,7.76,8.77,16.9,319.2,0.55
2021-02-02,E02,7.43,7.97,14.9,329.0,0.54
2021-02-02,E03,7.35,8.77,16.4,338.6,1.6
2021-02-02,E07,7.3,4.97,14.7,779.8,6.35
2021-02-02,E08,7.09,4.53,18.0,839.6,9.84
2021-02-03,E06,7.68,6.9,10.8,657.4,4.31
2021-02-03,E07,7.13,5.96,14.2,768.3,6.19
2021-02-03,E08,7.39,5.45,18.6,924.8,8.83
2021-02-04,E02,7.92,8.27,14.6,334.1,0.68
2021-02-04,E07,6.98,5.19,29.3,830.8,6.24
2021-02-04,E08,6.89,5.39,18.8,886.1,9.15
2021-02-05,E01,8.05,8.96,15.0,312.4,0.89
2021-02-06,E03,7.77,7.45,10.6,366.9,1.34
2021-02-06,E07,7.49,5.82,18.4,696.7,6.11
2021-02-07,E04,7.29,7.63,16.7,443.0,1.99
2021-02-07,E06,7.43,6.19,18.0,615.1,4.37
2021-02-07,E07,7.26,5.67,19.5,742.2,6.2
2021-02-07,E08,6.97,5.69,20.7,879.9,9.49
2021-02-08,E02,7.56,6.69,12.8,318.2,0.72
2021-02-08,E03,7.66,7.94,16.6,400.2,1.29
2021-02-08,E05,7.81,7.55,21.1,535.1,2.35
2021-02-08,E06,7.37,4.85,14.9,602.9,4.28
2021-02-09,E02,7.77,7.86,11.6,346.0,0.93
2021-02-09,E04,7.86,7.62,11.7,414.7,1.06
2021-02-09,E08,7.07,5.14,19.6,868.4,9.57
2021-02-10,E06,7.34,5.79,20.4,623.8,3.12
2021-02-10,E07,7.2,6.75,17.4,874.0,6.99
2021-02-11,E01,7.88,8.44,7.0,300.2,1.4
2021-02-11,E02,7.44,7.04,14.5,258.1,1.18
2021-02-11,E03,7.75,8.1,8.0,331.5,1.97
2021-02-11,E07,7.16,5.55,20.6,700.2,6.04
2021-02-12,E03,7.66,7.4,12.6,377.2,0.62
2021-02-12,E05,7.26,7.47,19.7,512.5,2.9
2021-02-13,E05,7.53,6.22,15.3,571.7,1.95
2021-02-13,E08,7.18,5.8,14.3,875.2,9.08
2021-02-14,E03,7.81,8.87,10.4,422.4,1.29
2021-02-16,E07,7.02,6.0,18.3,810.7,6.11
2021-02-17,E03,7.75,7.78,15.5,414.9,1.21
2021-02-18,E08,7.42,5.28,16.7,865.2,9.13
2021-02-19,E03,7.4,7.7,15.8,422.5,1.02
2021-02-19,E06,7.32,7.07,15.6,611.8,5.08
2021-02-20,E02,7.74,7.14,17.1,342.5,0.66
2021-02-20,E02,7.53,8.01,15.8,253.3,0.05
2021-02-20,E06,7.62,6.47,16.2,687.0,4.93
2021-02-20,E08,7.04,4.98,22.5,918.7,9.58
2021-02-21,E01,7.8,7.65,8.5,266.8,1.08
2021-02-21,E01,7.66,9.05,12.0,198.2,0.05
2021-02-21,E02,7.72,8.16,15.4,300.2,1.03
2021-02-21,E06,7.55,6.68,19.9,592.0,4.11
2021-02-21,E06,7.38,5.26,21.0,628.6,4.68
2021-02-21,E06,7.28,6.27,19.5,652.5,2.95
2021-02-21,E06,7.12,5.15,16.8,648.2,4.15
2021-02-22,E04,7.32,7.32,19.3,409.6,1.64
2021-02-22,E07,7.16,5.64,17.4,736.8,6.86
2021-02-23,E03,7.61,7.66,21.5,356.1,1.01
2021-02-23,E03,7.45,7.55,12.5,408.7,1.12
2021-02-24,E02,7.79,8.19,11.0,344.5,0.57
2021-02-24,E04,7.66,6.49,15.1,457.2,2.32
2021-02-24,E06,7.29,6.82,16.9,558.3,4.35
2021-02-24,E08,7.12,5.53,25.9,901.1,8.75
2021-02-25,E01,7.48,7.74,12.3,306.7,0.05
2021-02-26,E02,7.48,8.46,14.3,294.8,0.28
2021-02-26,E04,7.47,7.32,19.1,380.0,1.53
2021-02-26,E05,7.56,6.8,10.9,502.5,2.15
2021-02-28,E02,7.58,8.19,12.4,344.7,0.9
2021-02-28,E04,7.55,7.38,18.8,426.7,1.27
2021-03-01,E05,7.52,7.15,14.9,514.5,1.58
2021-03-02,E01,7.5,8.48,13.7,371.1,1.44
2021-03-02,E05,7.49,6.12,18.2,493.3,2.75
2021-03-03,E04,7.48,7.44,16.2,466.5,1.31
2021-03-03,E05,7.65,6.81,17.0,515.0,2.64
2021-03-03,E06,7.05,6.97,14.8,541.9,3.88
2021-03-04,E08,7.35,5.33,14.4,918.8,9.82
2021-03-05,E01,7.57,7.91,13.8,318.1,0.93
2021-03-06,E02,7.59,7.65,13.5,280.6,0.76
2021-03-06,E08,6.71,5.0,15.4,939.9,9.06
2021-03-07,E02,7.68,8.42,20.6,284.2,0.32
2021-03-07,E05,7.22,5.96,15.3,528.6,2.72
2021-03-07,E08,7.0,5.14,24.0,901.8,9.24
2021-03-08,E03,7.86,8.46,17.4,369.5,1.46
2021-03-08,E04,7.57,7.35,13.9,441.2,1.74
2021-03-08,E06,7.17,6.17,10.7,584.8,3.79
2021-03-08,E07,7.11,6.02,19.2,703.3,6.1
2021-03-09,E02,7.7,7.88,19.3,274.1,0.27
2021-03-09,E02,7.77,7.86,20.9,372.8,0.64
2021-03-09,E08,6.98,4.75,17.9,955.1,9.6
2021-03-09,E08,7.07,5.83,17.3,912.2,9.18
2021-03-10,E02,7.82,7.86,10.9,308.0,0.82
2021-03-10,E04,7.73,8.13,9.2,480.0,1.26
2021-03-10,E05,7.42,6.65,14.0,568.8,2.68
2021-03-10,E07,7.15,6.4,21.2,731.0,6.28
2021-03-10,E08,7.1,5.4,21.8,849.6,9.15
2021-03-10,E08,7.01,5.06,16.4,856.1,8.72
2021-03-11,E06,7.18,6.32,18.9,594.0,4.07
2021-03-11,E07,7.34,6.7,21.3,805.2,6.68
2021-03-12,E04,7.59,6.8,12.8,450.7,1.0
2021-03-12,E08,7.23,5.76,21.4,914.2,9.33
2021-03-13,E07,7.03,6.0,22.5,723.2,6.42
2021-03-13,E08,6.8,4.79,17.9,900.9,9.15
2021-03-15,E02,7.8,8.81,15.1,294.6,0.86
2021-03-15,E04,7.35,7.4,15.3,486.6,1.69
2021-03-15,E06,7.44,6.27,21.0,655.0,4.63
2021-03-15,E08,7.09,5.5,16.6,894.2,9.87
2021-03-15,E08,7.24,5.74,18.4,861.0,8.93
2021-03-16,E02,7.85,7.72,9.8,323.6,0.9
2021-03-16,E02,7.54,9.45,13.5,298.7,0.79
2021-03-17,E01,7.6,7.71,14.6,273.0,0.74
2021-03-17,E02,7.55,8.58,7.7,405.0,1.33
2021-03-18,E01,7.74,9.11,14.0,342.9,0.56
2021-03-18,E02,7.63,8.36,14.2,295.6,1.31
2021-03-18,E02,7.63,8.39,9.4,344.7,0.35
2021-03-18,E04,7.09,6.49,15.9,461.6,1.26
2021-03-18,E07,7.27,5.7,20.1,723.9,5.99
2021-03-19,E08,6.92,5.11,15.8,916.4,9.11
2021-03-20,E03,7.75,9.23,13.2,343.1,1.37
2021-03-20,E04,7.81,6.16,14.6,454.5,1.26
2021-03-20,E07,7.25,5.41,16.8,776.7,6.18
2021-03-22,E06,7.44,6.34,21.3,610.5,3.9
2021-03-23,E02,7.99,8.02,11.6,303.0,0.61
2021-03-23,E04,7.45,7.1,14.1,542.1,2.44
2021-03-23,E04,7.37,7.56,19.7,479.7,1.94
2021-03-23,E05,7.17,7.25,12.1,466.9,1.81
2021-03-24,E06,7.57,5.66,13.0,616.2,3.71
2021-03-24,E06,7.66,6.83,14.7,598.4,4.07
2021-03-24,E07,7.08,5.64,15.7,706.3,6.48
2021-03-24,E07,7.12,5.08,13.1,723.9,6.06
2021-03-25,E05,7.23,6.75,16.9,450.7,2.25
2021-03-26,E02,8.04,7.42,10.3,379.9,0.82
2021-03-26,E03,7.88,7.7,17.8,343.2,1.12
2021-03-26,E03,7.68,7.66,17.0,403.1,1.21
2021-03-26,E04,7.45,7.24,19.3,440.9,1.86
2021-03-27,E08,7.17,5.37,18.2,936.5,9.29
2021-03-28,E01,7.86,8.63,4.9,375.5,1.15
2021-03-28,E03,7.6,7.08,9.5,384.5,1.08
2021-03-29,E03,7.44,7.61,18.4,371.2,0.91
2021-03-29,E07,7.02,4.81,20.0,779.8,5.98
2021-03-30,E05,7.56,6.06,17.1,510.8,1.89
2021-03-30,E07,7.12,5.25,17.4,767.0,6.88
2021-03-31,E01,8.11,8.39,13.2,306.7,0.58
2021-03-31,E02,7.47,7.69,11.9,361.7,0.88
2021-03-31,E02,7.71,8.31,11.1,294.3,0.52
2021-04-01,E01,7.46,8.76,5.2,368.2,0.16
2021-04-02,E06,7.07,7.31,10.1,622.1,3.37
2021-04-02,E06,7.43,6.56,14.1,750.6,3.03
2021-04-02,E07,7.31,6.2,13.6,808.1,4.98
2021-04-02,E07,7.06,5.79,11.6,798.2,5.39
2021-04-03,E01,7.51,9.95,5.3,231.9,0.05
2021-04-03,E07,7.04,6.9,9.6,823.0,5.49
2021-04-03,E08,6.98,5.52,11.8,895.5,8.43
2021-04-04,E07,7.38,5.82,10.8,839.4,5.7
2021-04-04,E07,7.32,5.85,8.2,757.4,5.85
2021-04-05,E04,7.78,7.67,7.0,544.3,1.45
2021-04-05,E05,7.48,7.41,13.7,588.7,2.06
2021-04-06,E03,7.6,8.03,3.3,388.5,1.09
2021-04-06,E03,7.58,7.22,11.4,411.3,1.51
2021-04-07,E02,7.88,8.51,6.6,393.6,0.96
2021-04-07,E03,7.84,7.77,4.2,429.5,0.75
2021-04-07,E03,7.48,8.61,5.8,401.4,1.57
2021-04-07,E05,7.64,7.29,9.6,525.8,1.78
2021-04-07,E08,7.3,5.37,10.2,913.0,7.48
2021-04-08,E01,7.88,8.7,1.7,376.6,0.99
2021-04-08,E01,7.62,9.26,9.6,315.8,0.23
2021-04-08,E03,7.63,8.21,6.3,433.0,0.58
2021-04-08,E03,7.41,7.88,7.1,388.0,0.3
2021-04-08,E04,7.07,7.55,11.0,500.4,1.23
2021-04-09,E01,7.96,7.8,6.6,295.1,0.12
2021-04-09,E06,7.35,6.66,12.8,648.5,3.5
2021-04-10,E02,7.4,8.18,6.1,329.3,0.42
2021-04-10,E03,7.68,7.8,12.5,398.0,1.0
2021-04-10,E07,7.01,6.43,8.3,788.5,5.24
2021-04-12,E06,7.75,6.35,9.3,660.6,4.04
2021-04-12,E07,7.28,5.61,14.3,837.9,6.31
2021-04-13,E01,7.6,8.47,12.1,343.6,0.92
2021-04-13,E02,7.85,8.67,10.1,317.8,0.94
2021-04-13,E02,7.5,7.49,10.4,349.3,0.84
2021-04-13,E03,7.72,7.44,9.8,425.2,1.15
2021-04-13,E04,7.35,7.3,10.6,459.2,1.49
2021-04-13,E07,7.23,6.5,14.2,823.5,5.5
2021-04-14,E02,7.78,8.26,8.3,352.8,0.67
2021-04-15,E02,7.75,7.6,5.8,360.2,0.72
2021-04-16,E01,8.0,9.37,10.4,257.1,0.52
2021-04-16,E05,7.65,7.2,12.4,523.0,2.39
2021-04-17,E03,7.45,8.24,8.7,442.8,1.38
2021-04-17,E05,7.3,7.14,11.1,539.1,2.48
2021-04-17,E08,7.06,5.31,10.0,913.1,8.13
2021-04-18,E05,7.3,6.46,12.8,498.3,2.46
2021-04-18,E08,7.51,5.77,9.8,937.2,7.96
2021-04-19,E05,7.43,7.25,11.5,503.4,2.76
2021-04-19,E07,7.43,6.5,15.0,849.9,5.72
2021-04-20,E03,7.47,7.51,9.1,425.6,0.47
2021-04-20,E08,7.33,4.79,11.9,941.8,7.84
2021-04-21,E08,7.01,6.1,10.6,980.9,8.32
2021-04-22,E04,7.63,7.9,12.3,509.4,0.95
2021-04-23,E04,7.46,6.61,10.7,497.3,1.28
2021-04-23,E04,7.38,7.68,11.0,547.1,1.33
2021-04-23,E05,7.38,7.4,10.9,561.5,1.7
2021-04-24,E01,8.09,9.04,8.8,335.4,0.15
2021-04-24,E03,7.76,8.38,12.1,440.3,1.3
2021-04-24,E05,7.42,7.09,12.8,581.7,3.1
2021-04-24,E07,7.2,6.85,13.4,816.3,5.52
2021-04-24,E08,7.15,4.72,13.2,936.6,8.81
2021-04-25,E03,7.6,7.67,9.1,416.5,0.47
2021-04-26,E01,7.67,7.71,3.8,300.8,0.4
2021-04-26,E02,8.02,8.11,8.8,318.3,0.33
2021-04-26,E02,7.78,9.09,3.0,321.6,1.01
2021-04-26,E04,7.71,8.42,3.9,447.0,1.08
2021-04-26,E06,7.33,7.07,11.7,597.2,3.99
2021-04-27,E01,7.64,8.92,10.0,311.3,0.47
2021-04-27,E01,7.59,9.0,4.4,336.0,0.35
2021-04-27,E02,7.66,8.06,9.4,368.6,1.21
2021-04-27,E02,7.74,7.61,6.1,329.2,0.46
2021-04-27,E04,7.15,7.04,13.5,496.5,1.27
2021-04-27,E06,7.35,6.57,9.9,656.3,4.74
2021-04-28,E03,7.71,8.38,7.8,393.4,0.66
2021-04-28,E04,7.44,8.04,11.9,517.7,1.27
2021-04-28,E05,7.27,6.36,9.3,538.5,1.8
2021-04-29,E05,7.43,7.71,10.9,565.4,1.35
2021-04-29,E07,7.16,5.74,10.0,774.1,5.56
2021-04-30,E02,7.71,8.24,2.6,389.4,0.59
2021-04-30,E05,7.18,6.9,13.2,542.2,2.59
2021-04-30,E06,7.43,7.41,10.6,682.7,3.27
2021-04-30,E07,7.01,5.51,10.2,763.5,5.59
2021-05-01,E03,7.58,8.84,6.5,410.0,1.26
2021-05-01,E06,7.6,6.54,7.8,650.3,3.89
2021-05-01,E07,7.33,5.99,15.4,784.5,5.41
2021-05-02,E03,7.99,7.82,2.3,440.0,1.15
2021-05-02,E03,7.59,7.54,8.4,368.3,0.8
2021-05-03,E02,7.51,8.75,10.5,370.4,0.28
2021-05-03,E05,7.14,6.64,12.2,565.7,2.3
2021-05-03,E06,7.42,7.75,9.3,684.5,2.86
2021-05-04,E02,7.98,8.16,5.4,396.6,0.26
2021-05-05,E04,7.38,8.38,9.6,455.1,1.57
2021-05-05,E05,7.34,7.18,3.8,590.6,1.86
2021-05-05,E06,7.33,6.56,4.5,599.7,3.6
2021-05-06,E04,7.4,6.0,6.2,484.0,0.27
2021-05-06,E06,7.13,7.14,8.1,682.1,3.04
2021-05-06,E07,7.23,5.16,8.2,830.5,5.13
2021-05-07,E06,7.33,6.66,10.6,679.0,2.82
2021-05-08,E01,7.89,8.49,10.3,397.5,1.2
2021-05-08,E02,7.69,8.89,6.6,333.0,0.59
2021-05-08,E02,7.68,9.06,14.0,373.7,0.63
2021-05-08,E08,6.78,5.18,3.7,950.3,8.11
2021-05-08,E08,7.23,5.83,8.3,895.4,8.06
2021-05-09,E05,7.37,6.7,8.0,554.0,2.09
2021-05-10,E02,7.92,8.32,7.3,411.1,1.05
2021-05-10,E02,7.61,7.46,12.0,464.8,0.51
2021-05-10,E04,7.4,8.02,6.2,436.0,1.04
2021-05-10,E08,7.19,5.14,13.0,913.6,7.76
2021-05-11,E04,7.34,8.11,5.6,519.2,1.22
2021-05-12,E06,7.04,6.61,8.2,623.9,3.33
2021-05-13,E01,7.71,9.12,2.6,290.7,0.71
2021-05-13,E02,7.78,8.7,6.4,339.1,1.48
2021-05-13,E04,8.0,6.98,5.1,515.7,0.57
2021-05-13,E08,7.11,5.83,14.9,960.9,8.38
2021-05-14,E04,7.62,8.0,12.0,523.4,1.53
2021-05-14,E05,7.31,7.34,12.9,519.3,1.51
2021-05-14,E05,7.3,6.7,13.9,559.0,1.42
2021-05-14,E07,7.27,5.89,17.9,785.3,4.62
2021-05-15,E03,7.55,8.38,7.1,367.6,1.31
2021-05-15,E04,7.5,7.83,2.2,479.8,1.59
2021-05-17,E02,7.86,7.81,9.4,381.7,0.05
2021-05-18,E02,7.66,8.43,8.3,305.3,0.79
2021-05-18,E03,7.68,8.02,10.9,361.8,1.23
2021-05-18,E07,7.1,6.26,7.5,787.3,5.13
2021-05-19,E04,7.63,7.43,6.1,466.1,1.03
2021-05-19,E05,7.44,6.84,10.2,487.6,2.01
2021-05-19,E08,6.99,5.41,10.2,1009.1,7.38
2021-05-19,E08,7.18,5.73,6.8,926.0,8.5
2021-05-22,E02,7.82,8.31,9.6,368.7,0.9
2021-05-22,E02,7.73,8.53,9.4,358.2,0.7
2021-05-22,E04,7.64,7.12,5.0,487.8,2.13
2021-05-22,E04,7.53,7.4,7.3,482.1,1.75
2021-05-22,E07,7.15,5.98,9.8,795.8,5.62
2021-05-23,E02,7.57,7.99,11.7,360.6,0.93
2021-05-24,E01,7.78,8.82,1.8,301.4,0.72
2021-05-24,E06,7.46,6.9,14.3,616.8,4.12
2021-05-24,E06,7.28,7.62,9.2,695.9,4.11
2021-05-25,E02,8.08,7.59,10.1,379.6,0.69
2021-05-25,E03,7.53,8.37,9.5,412.1,1.01
2021-05-25,E04,7.5,7.46,8.7,468.3,0.99
2021-05-25,E07,7.19,5.97,13.3,717.3,5.09
2021-05-26,E04,7.54,7.32,13.5,489.7,1.89
2021-05-26,E04,7.44,6.79,16.0,470.0,2.03
2021-05-26,E05,7.6,7.22,15.7,525.8,2.76
2021-05-26,E06,7.24,6.64,11.6,631.2,3.43
2021-05-26,E07,7.13,5.71,11.9,817.0,5.57
2021-05-27,E02,7.59,8.34,10.2,384.5,0.05
2021-05-27,E02,7.65,8.23,11.1,298.8,0.47
2021-05-28,E02,7.89,7.66,0.5,342.0,0.69
2021-05-29,E01,7.77,8.51,6.8,348.1,0.76
2021-05-29,E01,7.93,8.77,9.3,259.0,0.06
2021-05-29,E02,7.54,7.8,3.8,394.6,0.49
2021-05-29,E02,7.43,7.97,7.6,274.3,0.55
2021-05-30,E01,8.03,8.45,9.4,377.7,0.93
2021-05-30,E04,7.43,7.33,11.8,502.8,1.52
2021-05-31,E01,7.67,8.97,9.4,338.5,0.6
2021-06-01,E01,7.76,8.86,10.7,315.6,0.05
2021-06-01,E05,7.51,6.54,8.6,561.7,2.52
2021-06-02,E02,7.72,7.69,8.7,285.5,0.05
2021-06-02,E07,7.02,5.33,15.4,773.3,5.64
2021-06-03,E06,7.4,6.94,13.8,732.0,3.73
2021-06-04,E01,7.71,9.63,7.1,252.7,0.47
2021-06-04,E02,7.74,8.09,5.1,367.9,1.15
2021-06-04,E02,7.73,8.93,10.7,327.4,0.93
2021-06-04,E04,7.23,7.31,4.2,493.8,0.62
2021-06-04,E06,7.2,6.8,10.5,614.9,3.79
2021-06-04,E07,7.29,5.34,12.8,717.7,5.74
2021-06-04,E08,7.25,5.85,10.2,906.2,7.96
2021-06-05,E08,7.57,4.93,10.2,936.7,6.82
2021-06-06,E03,7.97,7.79,5.3,440.4,0.94
2021-06-06,E05,7.61,7.42,8.5,534.7,2.29
2021-06-06,E05,7.7,6.91,12.8,519.9,1.94
2021-06-07,E04,7.35,7.12,9.4,526.0,1.6
2021-06-07,E05,7.4,7.47,10.2,574.8,1.81
2021-06-09,E01,7.85,9.02,4.6,248.9,0.05
2021-06-09,E05,7.53,7.3,7.4,572.6,2.22
2021-06-09,E06,7.35,7.39,9.7,659.0,4.09
2021-06-09,E07,7.2,5.56,9.6,807.5,4.82
2021-06-10,E01,8.04,8.8,5.7,303.8,0.06
2021-06-10,E01,7.99,8.74,8.3,338.6,1.01
2021-06-10,E04,7.31,8.01,6.3,462.2,1.21
2021-06-10,E04,7.04,7.13,7.7,425.5,1.91
2021-06-10,E07,7.11,6.6,9.3,826.5,5.55
2021-06-10,E08,7.11,5.54,10.3,876.3,7.72
2021-06-11,E03,7.7,8.16,15.4,413.1,1.38
2021-06-11,E07,7.13,6.48,9.2,825.4,5.25
2021-06-11,E07,7.08,5.95,10.5,815.7,5.99
2021-06-11,E08,7.16,5.68,8.7,905.0,7.91
2021-06-12,E06,6.79,6.22,6.9,677.0,3.68
2021-06-12,E07,7.12,4.56,13.0,817.7,4.82
2021-06-14,E02,7.84,9.22,1.1,337.9,1.22
2021-06-14,E04,7.54,8.42,5.3,499.6,2.03
2021-06-14,E05,7.63,7.98,10.6,530.4,1.78
2021-06-15,E01,7.72,8.7,6.0,264.0,1.01
2021-06-16,E02,7.84,9.47,12.1,354.7,0.11
2021-06-16,E06,7.42,7.03,11.8,658.6,2.95
2021-06-17,E01,7.47,9.08,11.6,348.5,1.14
2021-06-17,E05,7.21,6.69,9.6,561.0,2.76
2021-06-17,E07,6.89,6.18,8.6,794.6,5.45
2021-06-17,E08,7.32,6.32,14.1,921.7,7.89
2021-06-18,E07,6.92,5.84,8.5,800.8,5.49
2021-06-19,E08,7.26,5.27,11.0,949.3,7.83
2021-06-20,E02,7.94,8.55,9.9,346.1,0.59
2021-06-20,E05,7.65,6.72,4.9,548.5,1.82
2021-06-20,E05,7.55,7.59,5.4,578.2,2.0
2021-06-20,E07,7.09,5.56,8.3,711.0,5.23
2021-06-21,E02,7.54,9.0,3.7,391.5,1.29
2021-06-21,E05,7.79,6.38,9.9,550.6,2.5
2021-06-21,E07,7.0,6.11,9.3,771.6,5.6
2021-06-22,E03,7.51,6.98,11.6,467.6,0.91
2021-06-23,E04,7.53,7.89,11.0,502.6,1.43
2021-06-23,E08,7.35,5.67,13.2,907.2,8.23
2021-06-24,E02,8.0,8.51,12.1,355.0,1.32
2021-06-24,E05,7.53,6.12,7.3,578.4,1.49
2021-06-24,E08,7.02,6.32,6.0,933.6,7.21
2021-06-24,E08,6.84,5.93,13.7,970.8,8.23
2021-06-25,E05,7.37,6.7,5.8,541.2,1.89
2021-06-25,E06,7.21,5.97,13.2,706.4,3.19
2021-06-26,E01,7.99,8.97,6.6,366.6,0.7
2021-06-26,E07,7.45,6.4,11.6,770.5,5.9
2021-06-26,E07,7.3,5.22,10.1,818.7,5.6
2021-06-26,E08,7.23,5.93,10.3,1001.3,7.77
2021-06-26,E08,7.35,4.77,19.3,913.2,7.71
2021-06-28,E03,7.65,8.04,12.0,415.8,0.93
2021-06-28,E04,7.56,7.1,9.0,509.7,1.21
2021-06-29,E05,7.26,6.89,14.7,582.8,1.9
2021-06-29,E08,7.12,5.65,16.0,924.3,7.69
2021-06-29,E08,7.36,4.87,17.6,959.5,7.57
2021-06-30,E02,7.52,8.38,3.4,355.3,0.91
2021-06-30,E04,7.4,7.86,14.3,524.7,1.44
2021-07-01,E03,7.42,7.46,12.0,402.7,1.42
2021-07-01,E03,7.56,7.73,4.8,369.1,1.46
2021-07-01,E07,7.23,5.97,5.7,774.2,5.05
2021-07-02,E03,7.48,7.64,8.4,468.2,0.82
